_isName,_gender,_animate,_frequency,_length,_mainword,_dependentverbs,_dependenceofverb,_dependentnoun,_dependentadjective,_dependenceofadjective,_word,class
0,0,1,1,9,1,0,0,0,0,0,белоручка,'person'
0,-1,0,0,5,1,0,0,0,0,0,тоска,'object'
0,-1,1,1,7,1,0,0,1,0,0,матушка,'person'
0,1,0,2,3,1,0,0,1,0,0,час,'object'
0,1,1,3,4,1,0,0,1,0,0,отец,'person'
0,-1,0,0,6,0,0,0,0,0,0,тройка,'something'
0,0,0,0,5,0,0,0,0,0,0,махаю,'something'
0,1,1,0,5,0,0,0,0,0,0,котик,'something'
0,0,1,1,8,1,0,0,1,0,0,существо,'person'
0,-1,0,0,7,1,0,0,0,0,0,витрина,'object'
0,1,1,0,5,1,0,0,1,0,0,сосед,'person'
0,0,0,0,9,0,0,0,0,0,0,окончание,'something'
0,1,0,1,4,1,0,0,1,0,0,ужин,'object'
0,1,0,0,8,0,0,0,0,0,0,вечерний,'something'
0,1,0,0,5,0,0,0,0,0,0,порыв,'something'
0,-1,0,1,5,4,0,0,1,0,0,касса,'object'
0,-1,0,0,4,0,0,0,0,0,0,ложа,'something'
0,1,0,0,3,1,0,0,1,0,0,нож,'object'
0,-1,0,1,6,0,0,0,0,0,0,задача,'object'
0,1,0,1,7,0,0,0,0,0,0,задаток,'object'
0,-1,1,1,7,3,0,0,1,0,0,подруга,'person'
0,0,0,2,6,0,0,0,0,0,0,платье,'something'
0,1,0,0,6,0,0,0,0,0,0,карьер,'something'
0,-1,1,7,7,5,0,0,2,0,0,девочка,'person'
0,-1,0,1,9,0,0,0,0,0,0,складчина,'object'
0,-1,0,0,7,0,0,0,0,0,0,система,'something'
0,-1,0,0,6,0,0,0,0,0,0,горечь,'something'
0,0,0,0,10,0,0,0,0,0,0,возражение,'something'
0,-1,0,0,5,0,0,0,0,0,0,сумма,'something'
0,-1,0,0,6,0,0,0,0,0,0,прямая,'something'
0,-1,0,3,6,2,0,0,1,0,0,тишина,'object'
0,-1,0,0,6,0,0,0,0,0,0,сказка,'something'
0,1,1,0,8,0,0,0,0,0,0,художник,'person'
0,-1,0,0,3,0,0,0,0,0,0,зга,'something'
0,1,1,1,5,0,0,0,0,0,0,кучер,'person'
1,0,1,5,4,4,0,0,2,0,0,саша,'person'
0,0,0,0,13,0,0,0,0,0,0,стихосложение,'object'
0,-1,0,0,10,0,0,0,0,0,0,раздевалка,'something'
0,-1,1,2,8,1,0,0,0,0,0,лентяйка,'person'
0,-1,0,0,4,0,0,0,0,0,0,мера,'something'
0,0,0,0,10,0,0,0,0,0,0,приказание,'something'
0,-1,0,0,5,0,0,0,0,0,0,плита,'something'
1,0,0,1,6,0,0,0,0,0,0,машины,'object'
0,1,0,0,7,1,0,0,0,0,0,пятачок,'object'
0,-1,0,0,5,1,0,0,1,0,0,часть,'object'
0,0,0,2,6,0,0,0,0,0,0,даяние,'object'
0,-1,0,0,5,1,0,0,0,0,0,сумка,'object'
0,-1,0,0,5,0,0,0,0,0,0,крыша,'something'
0,1,0,6,5,4,0,0,3,0,0,класс,'object'
0,-1,0,0,7,0,0,0,0,0,0,сторона,'something'
0,-1,0,0,7,0,0,0,0,0,0,иллюзия,'something'
0,0,0,0,5,0,0,0,0,0,0,покою,'something'
0,-1,0,0,6,0,0,0,0,0,0,минута,'something'
0,-1,0,0,10,1,0,0,0,0,0,нечуткость,'object'
0,1,1,0,6,0,0,0,0,0,0,старик,'person'
1,1,1,1,10,1,0,0,1,0,0,константин,'person'
0,1,1,0,9,0,0,0,0,0,0,математик,'person'
0,-1,1,2,7,2,0,0,0,0,0,девушка,'person'
0,-1,1,1,4,1,0,0,1,0,0,дочь,'person'
0,1,1,0,7,1,0,0,0,0,0,христос,'person'
1,-1,1,1,9,0,0,0,0,0,0,вяземская,'person'
0,-1,1,1,6,1,0,0,1,0,0,княжна,'person'
1,-1,1,0,10,0,0,0,0,0,0,игнатиевна,'person'
0,-1,1,0,8,0,0,0,0,0,0,портниха,'person'
1,-1,1,2,4,1,0,0,1,0,0,соня,'person'
0,1,1,0,4,0,0,0,0,0,0,брат,'person'
1,-1,1,3,9,0,0,0,0,0,0,антоновна,'person'
0,-1,1,0,7,0,0,0,0,0,0,соседка,'person'
